"id","item_number","description","cost","mode","type","active"
"10097","DETECHTION CALLOUT ALARMS","DETECHTION CALLOUT ALARMS",NULL,NULL,"inventoryitem",True
"10099","NFS-3","SWITCH NO FLOW.KENCO","49.2",NULL,"inventoryitem",True
"101","0R-2560","OIL PUMP",NULL,"ENGINE PROGRAM","inventoryitem",True
"1010","2X600SWG","FLEX GASKET  2"""" X 3/4/600#",NULL,"CONSUMABLE","inventoryitem",True
"10100","COPINCVSS - 1/8 6,000PSI","CHEM OIL PRODUCTS - COPINCVSS - 1/8 6,000PSI","55",NULL,"inventoryitem",True
"10101","COPINCVSS - 1/4 6,000PSI","CHEM OIL PRODUCTS - COPINCVSS - 1/4 6,000PSI","55",NULL,"inventoryitem",True
"10102","GUARDIANT LUBRICATION - C18UP-12T","UNKNOWN; CAN'T FIND; DNI",NULL,NULL,"inventoryitem",True
"10103","PULSACLUBE A214-1/PL2-00 6MM","PULSACLUBE A214-1/PL2-00 6MM","18.95",NULL,"inventoryitem",True
"10104","KT-427-1693","USE PN K-427-1693 ( DO NOT USE )",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",False
"10105","KT-427-1774","USE PN K-427-1774 ( DO NOT USE )",NULL,"COMPRESSOR VALVE PROGRAM","inventoryitem",False
"10106","B-1983-DD","ARIEL: DIS VLV, 77CT ,  MTX,M/S","691",NULL,"inventoryitem",True
"10107","1-01-30389","GEMINI: DISCHARGE VALVE","825.5",NULL,"inventoryitem",True
"10108","B-1943-V","ARIEL: SUC VLV,102CT ,NYX,M/S","898",NULL,"inventoryitem",True
"10109","SUCTION VALVE, 147CT PCI","SUCTION VALVE, 147CT PCI",NULL,NULL,"inventoryitem",True
"1011","3"" 300 FLEX GASKET","3"" 300 FLEX GASKET",NULL,"CONSUMABLE","inventoryitem",True
"10110","B-8580","ARIEL: PKG,2.0, 650,STD,BTS","1236",NULL,"inventoryitem",True
"10111","B-5832-CC","ARIEL: DIS VLV, 79CRE,MTX","763",NULL,"inventoryitem",True
"10113","ARIEL; DISCHARGE VALVE, 105CRO","ARIEL; DISCHARGE VALVE, 105CRO",NULL,NULL,"inventoryitem",True
"10114","1493132","WIKA 1/4""NPT, 2000PSI GUAGE","49.95","Admin","inventoryitem",True
"10115","C-P 1-01-55142","USE PN 1-01-55142 ( DO NOT USE )",NULL,"Admin","inventoryitem",False
"10116","P-A-3135","UPDATE",NULL,NULL,"inventoryitem",True
"10117","B-4920-TX","ARIEL: SUC VLV,105CRE,NYX","878",NULL,"inventoryitem",True
"10118","3646329NX","UPDATE",NULL,NULL,"inventoryitem",True
"10119","3007716","CUMMINS: 855 LOADED CYLINDER HEAD,NEW","1025",NULL,"inventoryitem",True
"1012","3""""900# FLEX GK","3"""" 900# FLEXOTALLIC FLANGE GA",NULL,"CONSUMABLE","inventoryitem",True
"10120","A-4493","ARIEL: PKG SEAL RING,TFE WAT,0.572GR2","263",NULL,"inventoryitem",True
"10121","A-19601","ARIEL: PKG WIPER RING,TFE,3RWS,2","274",NULL,"inventoryitem",True
"10122","A-5706","ARIEL: AWAITING UPDATE & PRICING FROM VENDOR",NULL,NULL,"inventoryitem",True
"10123","B-2766-5","B-2766-5",NULL,NULL,"inventoryitem",False
"10124","820270","UPDATE",NULL,NULL,"inventoryitem",True
"10125","105621","UPDATE",NULL,NULL,"inventoryitem",True
"10126","105622","UPDATE",NULL,NULL,"inventoryitem",True
"10127","CS-301","UPDATE","2.3",NULL,"inventoryitem",True
"10128","CN705","UPDATE","4",NULL,"inventoryitem",True
"1013","3-01-10050","SUC VLV 3.25-3.75 A354",NULL,"CONSUMABLE","inventoryitem",True
"10130","A-00677","UPDATE",NULL,NULL,"inventoryitem",True
"10131","B-0576","ARIEL: VLV RET,DIS,15-3/4 22.5RHEET","353",NULL,"inventoryitem",True
"10132","G-2691","UPDATE","5",NULL,"inventoryitem",True
"10133","B-1370","ARIEL: VLV RET,DIS,13-1/2&17-1/4 R:RJ:E:ET:E21","189",NULL,"inventoryitem",True
"10134","B-3576","ARIEL: VLV RET,DIS,11-1/2ET","295",NULL,"inventoryitem",True
"10135","1-01-50325","UPDATE",NULL,NULL,"inventoryitem",True
"10136","P74515600SA00R0015","BELGAS; P7400 NO FREEZE DUMP VALVE, 2"" MNPT x 1"" FNPT, CARBON STEEL BODY, ANGLE BODY, PRESSURE OPENING, NITRILE SEAL, URETHANE TRIM MATERIAL, 1500 PSI","300","CONSUMABLE","inventoryitem",True
"10137","B-2719-CC","ARIEL: DIS VLV,168CT ,MTX","1492",NULL,"inventoryitem",True
"10138","B-2373-BB","ARIEL: DIS VLV,147CT, MTX","1010",NULL,"inventoryitem",True
"10139","B-0056-P-R","ARIEL; DISHCARGE VALVE; 79RX; MTX; REMAN","530","COMPRESSOR VALVE PROGRAM","inventoryitem",True
"1014","3-01-30375","79RX SUCT VLV KIT",NULL,"CONSUMABLE","inventoryitem",True
"10140","FR24","UPDATE",NULL,NULL,"inventoryitem",True
"10141","EPG-58-29.25-V-GSRL-8TM-AMB-WS-UBW-28","EPG-58-29.25-V-GSRL-8TM-AMB-WS-UBW-28",NULL,NULL,"inventoryitem",True
"10143","L1501","UPDATE",NULL,NULL,"inventoryitem",True
"10144","OVU 2115","OVU 2115",NULL,"Admin","inventoryitem",False
"10145","P95060006W","BELGAS; P95H PRESSURE REDUCING REGULATOR, 3/4"" NPTF CONNECTIONS",NULL,"CONSUMABLE","inventoryitem",True
"10146","113820","UPDATE",NULL,NULL,"inventoryitem",True
"10147","693-008-S","UPDATE",NULL,NULL,"inventoryitem",True
"10148","6I-0726","UPDATE",NULL,NULL,"inventoryitem",True
"10149","A-12018","ARIEL: HCL VLV SPACER,11-1/2ET CL","143",NULL,"inventoryitem",True
"1015","3-01-50478","GEMINI: VALVE KIT, 3RD STG SUC KIT, ES",NULL,"CONSUMABLE","inventoryitem",True
"10150","A-6501","ARIEL: AWAITING UPDATE & PRICING FROM VENDOR",NULL,NULL,"inventoryitem",True
"10151","2623657","UPDATE",NULL,NULL,"inventoryitem",True
"10152","P14","UPDATE",NULL,NULL,"inventoryitem",True
"10153","AS3-25","NGK SPARK PLUG","62.49",NULL,"inventoryitem",True
"10154","2W-7522","UPDATE",NULL,NULL,"inventoryitem",True
"10155","538-8744","UPDATE",NULL,NULL,"inventoryitem",True
"10156","5985871","5985871",NULL,NULL,"inventoryitem",True
"10157","WF6","FILTER","22",NULL,"inventoryitem",True
"10158","105-8160","UPDATE",NULL,NULL,"inventoryitem",True
"10159","B-2721-S","ARIEL: SUC VLV,168CT ,NYX","1492",NULL,"inventoryitem",True
"1016","3-01-50479","GEMINI: VALVE KIT, 3RD STG DISC, ES-50",NULL,"CONSUMABLE","inventoryitem",True
"10160","B-2714-AA","ARIEL: DIS VLV,168CT ,MTX","1339",NULL,"inventoryitem",True
"10161","B-8092-EE","ARIEL: DIS VLV, 70CRE,MTX,DS","702",NULL,"inventoryitem",True
"10162","B-4696-EE","ARIEL: DIS VLV,105CRE,MTX","938",NULL,"inventoryitem",True
