"unit_number","week","dt_hours","ma"
"HC11035","W44 - 23","0","100"
"HC11035","W43 - 23","0","100"
"HC11035","W42 - 23","0","100"
"HC11035","W41 - 23","0","100"
"HC11035","W40 - 23","0","100"
"HC11035","W39 - 23","0","100"
"HC11035","W38 - 23","0","100"
"HC11035","W37 - 23","0","100"
"HC11035","W36 - 23","0","100"
"HC11035","W35 - 23","0","100"
"HC11035","W34 - 23","0","100"
"HC11035","W33 - 23","0","100"
"HC11035","W32 - 23","0","100"
"HC11035","W31 - 23","0","100"
"HC11035","W30 - 23","0","100"
"HC11035","W29 - 23","0","100"
"HC11035","W28 - 23","0","100"
"HC11035","W27 - 23","0","100"
"HC11035","W26 - 23","0","100"
"HC11035","W25 - 23","0","100"
"HC11035","W24 - 23","0","100"
"HC11035","W23 - 23","0","100"
"HC11035","W22 - 23","0","100"
"HC11035","W21 - 23","0","100"
"HC11035","W20 - 23","0","100"
"HC11035","W19 - 23","0","100"
"HC11035","W18 - 23","0","100"
"HC11035","W17 - 23","0","100"
"HC11035","W16 - 23","0","100"
"HC11036","W53 - 23","0","100"
"HC11036","W52 - 23","0","100"
"HC11036","W51 - 23","0","100"
"HC11036","W49 - 23","0","100"
"HC11036","W48 - 23","0","100"
"HC11036","W47 - 23","0","100"
"HC11036","W46 - 23","0","100"
"HC11036","W45 - 23","0","100"
"HC11036","W44 - 23","0","100"
"HC11036","W43 - 23","0","100"
"HC11036","W42 - 23","0","100"
"HC11036","W41 - 23","0","100"
"HC11036","W40 - 23","0","100"
"HC11036","W39 - 23","0","100"
"HC11036","W38 - 23","0","100"
"HC11036","W37 - 23","0","100"
"HC11036","W36 - 23","0","100"
"HC11036","W35 - 23","0","100"
"HC11036","W34 - 23","0","100"
"HC11036","W33 - 23","0","100"
"HC11036","W32 - 23","0","100"
"HC11036","W31 - 23","0","100"
"HC11036","W30 - 23","0","100"
"HC11036","W29 - 23","0","100"
"HC11036","W28 - 23","0","100"
"HC11036","W27 - 23","0","100"
"HC11036","W26 - 23","0","100"
"HC11036","W25 - 23","0","100"
"HC11036","W24 - 23","0","100"
"HC11036","W23 - 23","0","100"
"HC11036","W22 - 23","0","100"
"HC11036","W21 - 23","0","100"
"HC11036","W20 - 23","0","100"
"HC11036","W19 - 23","0","100"
"HC11036","W18 - 23","0","100"
"HC11036","W17 - 23","0","100"
"HC11036","W16 - 23","0","100"
"HC11037","W53 - 23","0","100"
"HC11037","W52 - 23","0","100"
"HC11037","W51 - 23","0","100"
"HC11037","W49 - 23","0","100"
"HC11037","W48 - 23","0","100"
"HC11037","W47 - 23","0","100"
"HC11037","W46 - 23","0","100"
"HC11037","W45 - 23","0","100"
"HC11037","W44 - 23","0","100"
"HC11037","W43 - 23","0","100"
"HC11037","W42 - 23","0","100"
"HC11037","W41 - 23","0","100"
"HC11037","W40 - 23","0","100"
"HC11037","W39 - 23","0","100"
"HC11037","W38 - 23","0","100"
"HC11037","W37 - 23","0","100"
"HC11037","W36 - 23","0","100"
"HC11037","W35 - 23","0","100"
"HC11037","W34 - 23","0","100"
"HC11037","W33 - 23","0","100"
"HC11037","W32 - 23","0","100"
"HC11037","W31 - 23","0","100"
"HC11037","W30 - 23","0","100"
"HC11037","W29 - 23","0","100"
"HC11037","W28 - 23","0","100"
"HC11037","W27 - 23","0","100"
"HC11037","W26 - 23","0","100"
"HC11037","W25 - 23","0","100"
"HC11037","W24 - 23","44.83","73.31"
"HC11037","W23 - 23","7.5","95.54"
"HC11037","W22 - 23","0.01","100"
"HC11037","W21 - 23","0","100"
"HC11037","W20 - 23","0","100"
"HC11037","W19 - 23","21.68","87.09"
"HC11037","W18 - 23","23.46","86.04"
"HC11037","W17 - 23","0","100"
"HC11037","W16 - 23","0","100"
"HC11039","W53 - 23","0","100"
"HC11039","W52 - 23","0","100"
"HC11039","W51 - 23","0","100"
"HC11039","W49 - 23","0","100"
"HC11039","W48 - 23","0","100"
"HC11039","W47 - 23","0","100"
"HC11039","W46 - 23","0","100"
"HC11039","W45 - 23","0","100"
"HC11039","W44 - 23","0","100"
"HC11039","W43 - 23","0","100"
"HC11039","W42 - 23","0","100"
"HC11039","W41 - 23","0","100"
"HC11039","W40 - 23","0","100"
"HC11039","W39 - 23","0","100"
"HC11039","W38 - 23","0","100"
"HC11039","W37 - 23","0","100"
"HC11039","W36 - 23","0","100"
"HC11039","W35 - 23","0","100"
"HC11039","W34 - 23","0","100"
"HC11039","W33 - 23","0","100"
"HC11039","W32 - 23","0","100"
"HC11039","W31 - 23","0","100"
"HC11039","W30 - 23","0","100"
"HC11039","W29 - 23","0","100"
"HC11039","W28 - 23","0","100"
"HC11039","W27 - 23","0","100"
"HC11039","W26 - 23","0","100"
"HC11039","W25 - 23","0","100"
"HC11039","W24 - 23","0","100"
"HC11039","W23 - 23","0","100"
"HC11039","W22 - 23","0","100"
"HC11039","W21 - 23","0","100"
"HC11039","W20 - 23","0","100"
"HC11039","W19 - 23","0","100"
"HC11039","W18 - 23","0","100"
"HC11039","W17 - 23","0","100"
"HC11039","W16 - 23","0","100"
"HC11040","W53 - 23","0","100"
"HC11040","W52 - 23","0","100"
"HC11040","W51 - 23","0","100"
"HC11040","W49 - 23","0","100"
"HC11040","W48 - 23","0","100"
"HC11040","W47 - 23","0","100"
"HC11040","W46 - 23","0","100"
"HC11040","W45 - 23","0","100"
"HC11040","W44 - 23","0","100"
"HC11040","W43 - 23","0","100"
"HC11040","W42 - 23","0","100"
"HC11040","W41 - 23","0","100"
"HC11040","W40 - 23","0","100"
"HC11040","W39 - 23","0","100"
"HC11040","W38 - 23","0","100"
"HC11040","W37 - 23","0","100"
"HC11040","W36 - 23","0","100"
"HC11040","W35 - 23","0","100"
"HC11040","W34 - 23","0","100"
"HC11040","W33 - 23","0","100"
"HC11040","W32 - 23","0","100"
"HC11040","W31 - 23","0","100"
"HC11040","W30 - 23","0","100"
"HC11040","W29 - 23","0","100"
"HC11040","W28 - 23","0","100"
"HC11040","W27 - 23","0","100"
"HC11040","W26 - 23","0","100"
"HC11040","W25 - 23","0","100"
"HC11040","W24 - 23","0","100"
"HC11040","W23 - 23","0","100"
"HC11040","W22 - 23","0","100"
"HC11040","W21 - 23","0","100"
"HC11040","W20 - 23","0","100"
"HC11040","W19 - 23","0","100"
"HC11040","W18 - 23","0","100"
"HC11040","W17 - 23","0","100"
"HC11040","W16 - 23","0","100"
"HC11042","W53 - 23","0","100"
"HC11042","W52 - 23","0","100"
"HC11042","W51 - 23","0","100"
"HC11042","W49 - 23","0","100"
"HC11042","W48 - 23","0","100"
"HC11042","W47 - 23","0","100"
"HC11042","W46 - 23","0","100"
"HC11042","W45 - 23","0","100"
"HC11042","W44 - 23","0","100"
"HC11042","W43 - 23","0","100"
"HC11042","W42 - 23","0","100"
"HC11042","W41 - 23","0","100"
"HC11042","W40 - 23","0","100"
"HC11042","W39 - 23","0","100"
"HC11042","W38 - 23","0","100"
"HC11042","W37 - 23","0","100"
"HC11042","W36 - 23","0","100"
"HC11042","W35 - 23","0","100"
"HC11042","W34 - 23","0","100"
"HC11042","W33 - 23","0.89","99.47"
"HC11042","W32 - 23","0","100"
"HC11042","W31 - 23","0","100"
"HC11042","W30 - 23","0","100"
"HC11042","W29 - 23","0","100"
"HC11042","W28 - 23","0","100"
"HC11042","W27 - 23","0","100"
"HC11042","W26 - 23","0","100"
"HC11042","W25 - 23","0","100"
"HC11042","W24 - 23","0","100"
"HC11042","W23 - 23","18.52","88.98"
"HC11042","W22 - 23","41.88","75.07"
"HC11042","W21 - 23","0","100"
"HC11042","W20 - 23","0","100"
"HC11042","W19 - 23","0","100"
"HC11042","W18 - 23","0","100"
"HC11042","W17 - 23","0","100"
"HC11042","W16 - 23","4.64","97.24"
"HC11043","W53 - 23","0","100"
"HC11043","W52 - 23","0","100"
"HC11043","W51 - 23","0","100"
"HC11043","W49 - 23","0","100"
"HC11043","W48 - 23","0","100"
"HC11043","W47 - 23","0","100"
"HC11043","W46 - 23","0","100"
"HC11043","W45 - 23","0","100"
"HC11043","W44 - 23","26.08","84.47"
"HC11043","W43 - 23","0","100"
"HC11043","W42 - 23","0","100"
"HC11043","W41 - 23","0","100"
"HC11043","W40 - 23","0","100"
"HC11043","W39 - 23","0","100"
"HC11043","W38 - 23","0","100"
"HC11043","W37 - 23","0","100"
"HC11043","W36 - 23","0","100"
"HC11043","W35 - 23","0","100"
"HC11043","W34 - 23","0","100"
"HC11043","W33 - 23","0","100"
"HC11043","W32 - 23","47.09","71.97"
"HC11043","W31 - 23","13.13","92.19"
"HC11043","W30 - 23","35.81","78.69"
"HC11043","W29 - 23","0","100"
"HC11043","W28 - 23","0","100"
"HC11043","W27 - 23","0","100"
"HC11043","W26 - 23","0","100"
"HC11043","W25 - 23","0","100"
"HC11043","W24 - 23","19.68","88.28"
"HC11043","W23 - 23","29.19","82.62"
"HC11043","W22 - 23","0","100"
"HC11043","W21 - 23","0","100"
"HC11043","W20 - 23","0","100"
